district,num_startups,vc_funding,incubators,ecosystem_score
Mumbai,5200,8500,42,9.2
Delhi,4800,7900,38,8.9
Bangalore,6100,10200,45,9.8
Chennai,2800,4600,25,7.6
Hyderabad,3100,5200,28,8.0
Kolkata,1800,2700,15,6.5
Pune,2500,3800,22,7.8
Ahmedabad,1900,2800,18,7.0
Jaipur,950,1100,8,5.8
Lucknow,780,850,6,5.2
Chandigarh,1200,1600,12,6.3
Indore,870,920,7,5.5
Nagpur,680,720,5,4.9
Bhopal,590,650,4,4.7
Visakhapatnam,720,810,6,5.1
Kochi,1600,2200,15,6.8
Coimbatore,950,1050,8,5.7
Guwahati,480,510,4,4.2
Bhubaneswar,520,580,5,4.5
Dehradun,390,420,3,4.0
